Publisher,Headquarters,Est.,Notable games published,Notes,Active
Lighthouse Interactive,"Haarlem, The Netherlands",2005,LocoMania,Acquired by SilverBirch Inc. in 2008; defunct in 2009.,0
LJN,"New York City, United States",1970,,Acquired by Acclaim Entertainment.,0
LK Avalon,"≈öwilcza, Poland",1989,Hans Kloss,,1
Llamasoft,"Wales, UK",1981,Attack of the Mutant Camels,,1
Lock 'n Load Publishing,"Pueblo, Colorado, US",2006,,,1
Logotron Ltd,"Cambridge, England, UK",1987,XOR,Published last game in 1990.,0
Loki Software,"Tustin, California, United States",1998,,,0
Loriciel,France,1983,Jim Power in Mutant Planet,Defunct in 1995.,0
LucasArts,"San Francisco, California, United States",1982,Monkey IslandManiac MansionIndiana JonesStar Wars,Acquired by The Walt Disney Company (originally Lucasfilm Games LLC) and they changed from publisher to licensor.,0
Lump of Sugar,Japan,2005,Nursery Rhyme,,1
MacPlay,"Dallas, Texas, United States",1993,Various Macintosh games,Label of Interplay until 1997. Revived in 2000 as a label of United Developers.,1
MacSoft,"Plymouth, Minnesota, United States",1993,Various Macintosh games,Acquired by Destineer in 2003.,0
Mad Catz,"San Diego, California, United States",1989,MC Groovz Dance Craze,Defunct in 2017.,0
Magical Company,"Kobe, Japan",1985,K≈çshien,No longer publishes video games.,0
Magnavox,"Napa, California, United States",1911,Magnavox Odyssey,Also a video game developer. Acquired by Philips in 1974. Exited the video game industry in 1984.,0
Mr Chip Software,"Chester, UK",1982,Various Commodore 64 games,Ceased publishing video games in 1984; changed name to Magnetic Fields in 1988.,0
magnussoft,"Kesselsdorf, Germany",1984,,,1
Mandarin Software,"Adlington, UK",1988,Lancelot,Publishing label of Europress Software. Last game published in 1990.,0
MangaGamer,Japan,2009,Various visual novels,,0
Martech,"Pevensey Bay, UK",1982,Rex,Ceased publishing video games in 1989.,0
Majesco Entertainment,"Edison, New Jersey, United States",1986,Cooking Mama,Exited the video game industry in 2016.,0
Marvelous,"Tokyo, Japan",2011,,Also a video game developer.,1
Marvelous Entertainment,"Tokyo, Japan",1997,Harvest Moon DS,Merged with AQ Interactive in 2011 to become Marvelous AQL (later Marvelous).,0
Masaya,Japan,1985,Target Earth,"Label of NCS until 2014, and of Extreme since then.",1
Mastertronic,UK,1983,"One Man and His Droid, Master of Magic","Merged with Virgin Interactive in 1988, and subsequently absorbed into Sega in 1991.",0
Mastiff,"San Francisco, California",2002,,Also a video game developer.,1
Matrix Games,"Staten Island, New York, United States",2000,Distant Worlds,Merged into Slitherine Software in 2010 and their games are published by Slitherine.,0
Mattel,"El Segundo, California, United States",1945,Astrosmash,Exited the video game business in 1984.,0
Maximum Games,"Walnut Creek, California, United States",2009,Deer Drive LegendsJASF: Jane's Advanced Strike FightersWorms Collection,Formerly Maximum Family Games,1
Maxis,"Emeryville, California, United States",1987,SimCity seriesThe Sims seriesSpore,Acquired by Electronic Arts and is now its development division. Their games are now published by Electronic Arts or EA Mobile.,0
Max Design,"Schladming, Austria",1991,1869,Defunct in 2004.,0
MC2 France,"Paris, France",2003,Sniper Elite,Currently publishes under the Microids label.,0
MC Lothlorien,UK,1982,Micro Mouse Goes Debugging,Defunct in 1990.,0
MECC,"Brooklyn Center, Minnesota, United States",1973,The Oregon Trail,Defunct in 1999.,0
MediaWorks,"Tokyo, Japan",1992,Emerald Dragon,"Merged with ASCII Corporation in 2008 to become ASCII MediaWorks. In 2009, its game business was merged into Kadokawa Games.",0
Media Factory,"Tokyo, Japan",1986,Derby Stallion 64,"Label of Recruit until 2011, and of Kadokawa Corporation since then. No longer publishes video games.",0
Media Rings,"Tokyo, Japan",1989,Zero4 Champ,Defunct in 2007.,0
Mega Enterprise,"Seoul, South Korea",1998,Call of Duty,Defunct in 2007.,0
Melbourne House,"Melbourne, Australia",1977,Way of the Exploding Fist,Acquired by Krome Studios in 2006; closed in 2010.,0
Meldac,Japan,1990,Zombie Nation,No longer publishes video games.,0
"Metro3D, Inc.","San Jose, California, United States",1998,Dual Blades,Defunct in 2004.,0
Metropolis Software,"Warsaw, Poland",1992,Teenagent,Acquired by CD Projekt in 2008; defunct in 2009.,0
MGM Interactive,United States,1995,Machine Hunter,Software publishing arm of Metro-Goldwyn-Meyer. Defunct in 2005.,0
Microdeal,"St Austell, Cornwall, England, UK",1981,Goldrunner,Rights sold to HiSoft Systems in 1989.,0
Micro√Øds,France,1984,Blacksad: Under the Skin,Also a video game developer. Subsidiary of Anuman.,1
MicroIllusions,"Granada Hills, California, United States",1987,The Faery Tale Adventure,Last game published in 1989.,0
"Micronet co., Ltd.","Sapporo, Japan",1982,Curse,No longer publishes video games.,0
MicroProse,"Hunt Valley, Maryland, United States",1982,X-Com,"Acquired by Hasbro Interactive, name retired.",0
Microsoft,"Redmond, Washington, United States",1975,HaloAge of EmpiresGears of WarBlack & White,Publishes games under the Microsoft Game Studios banner since 2002.,1
Microsphere,"London, England, UK",1982,Skool Daze,Defunct in 1987.,0
Microcabin,Japan,1982,Xak: The Art of Visual Stage,"Acquired by AQ Interactive in 2008, and by Fields Corporation in 2011.",0
Micrografx,"Richardson, Texas, United States",1982,,Acquired by Corel in 2001.,0
MicroGraphic Image,United States,1983,Spelunker,Defunct in 1984.,0
Micro Genius,"Taipei, Taiwan",1989,,Defunct in 1994.,0
Micro Power,"Leeds, England, UK",1980,Castle Quest,Defunct in 1987.,0
Midas Interactive Entertainment,"Braintree, Essex, England, UK",1999,Sanvein,Still sells old games but no longer publishes new games under the name.,0
Midway Games,"Chicago, Illinois, United States",1988,Mortal Kombat,Also a video game developer. Assets acquired by Warner Bros. Interactive and THQ.,0
Midway Manufacturing,"Chicago, Illinois, United States",1958,Spy Hunter,Also a video game developer. Acquired by Bally in 1969; Bally/Midway was in turn acquired by Williams Electronics in 1987. Reformed as Midway Games in 1988.,0
Mikro-Gen,"Bracknell, UK",1981,Pyjamarama,Acquired by Creative Sparks Distribution in 1987.,0
MileStone Inc.,"Tokyo, Japan",2003,Chaos Field,Closed in 2013.,0
Millennium Interactive,"Cambridge, England, UK",1988,Cloud Kingdoms,Acquired by Sony Interactive Entertainment in 1997.,0
Milton Bradley Company,"East Longmeadow, Massachusetts, United States",1860,Time Lord,Acquired by Hasbro in 1984. Defunct in 2009.,0
Minato Soft,Japan,2006,Kimi ga Aruji de Shitsuji ga Ore de,Also publishes under the Whale label.,1
Mindcraft,"Torrance, California, United States",1989,The Magic Candle,Last game published in 1993.,0
Mindscape,"Novato, California, United States",1980,,No longer publishes video games.,0
Minori,Japan,2001,Bittersweet Fools,Software division of CoMixWave until 2007.,0
Mirrorsoft,"London, England, UK",1982,Tetris (Home computers),Acquired by Acclaim Entertainment in 1992.,0
Mitchell Corporation,"Tokyo, Japan",1960,Pang,Defunct in 2012.,0
Mojang,"Stockholm, Sweden",2009,Minecraft,Acquired by Microsoft in 2014.,1
Monolith Productions,"Kirkland, Washington, United States",1994,Get Medieval,Acquired by Warner Bros. in 2004.,0
Monte Cristo,"Paris, France",1995,Cities XL,Defunct in 2010.,0
Moonstone,Japan,2003,Gift,Also publishes under the Moonstone Cherry label.,1
Mosaic Publishing,"London, England, UK",1983,Erik the Viking,Defunct in 1988.,0
MOSS,"Tokyo, Japan",1993,Caladrius,,1
Motown Games,United States,1994,Rap Jam: Volume One,Software publishing arm of Motown. Defunct in 1996.,0
Mountain King Studios,"Chicago, Illinois, United States",1992,DemonStar,No longer publishes video games.,0
MTO,"Yokohama, Japan",1996,GT Pro Series,,1
MTV Games,"New York City, United States",2006,Rock Band,,0
Mud Duck Productions,"Rockville, Maryland, United States",2002,Malice,Label of ZeniMax Media. Defunct in 2007.,0
Muse Software,"Monrovia, Maryland, United States",1978,,Also a video game developer.,0
MumboJumbo,"Dallas, Texas, United States",2001,7 Wonders of the Ancient World,,1
Mystique,United States,1982,Custer's Revenge,Offshoot of Caballero Control Corporation and American Multiple Industries. Defunct in 1983.,0
Namco,"Tokyo, Japan",1955,TekkenPac-ManAce CombatTime Crisis,No longer publishes video games. Video game division merged with Bandai's video game operations as Namco Bandai Games.,0
Natsume Co Ltd,"Tokyo, Japan",1987,Abadox,Renamed to Natsume-Atari in 2013 following merger with subsidiary Atari.,1
Natsume Inc,"Burlingame, California",1988,Harvest Moon,Division of Natsume Co Ltd until 1995.,1
Navel,Japan,2003,Shuffle!,"Label of Omega Vision, Inc.",1
Naxat Soft,"Tokyo, Japan",1988,Recca,Defunct in 2015.,0
NBCUniversal,"Midtown Manhattan, New York City",2004,,The game publishing division will be closed in 2019.[1],0
NCsoft,"Seoul, South Korea",1997,LineageGuild Wars,,1
NEC Corporation,"Tokyo, Japan",1899,Keith Courage in Alpha Zones,Exited the video game industry in 1998.,0
Neko Entertainment,"Montreuil, France",1999,Super Army War,Defunct in 2017.,0
Netdragon,"Fuzhou, China",1997,,Also a video game developer.,1
Netease,"Guangzhou, China",1997,Fantasy Westward Journey,Also a video game developer and online services company.,1
New Generation Software,UK,1982,Trashman,Defunct in 1986.,0
NewKidCo,"Manhattan, New York, United States",1998,E.T.: Interplanetary Mission,Defunct in 2005.,0
New World Computing,"Agoura Hills, California, United States",1984,Might and MagicHeroes of Might and Magic,Also a video game developer. Purchased by 3DO.,0
Nexon,"Seoul, South Korea",1994,Maplestory,Also a video game developer.,1
Nihon Falcom,Japan,1981,Dragon Slayer,,1
Nintendo,"Kyoto, Japan",1889,MarioLegend of ZeldaMetroidPok√©monPikminKirby Animal Crossing,Also a video game developer.,1
Nippon Ichi Software,Japan,1994,Disgaea series,Also a video game developer.,1
Nihon Bussan,Japan,1970,Crazy ClimberTerra Cresta,A.K.A. Nichibutsu,0
Nitroplus,"Tokyo, Japan",2000,Phantom of Inferno,,1
Novagen Software,"Birmingham, England, UK",1983,Mercenary,Defunct in 1992.,0
Nokia,"Espoo, Finland",1865,,,0
Nordcurrent,"Vilnius, Lithuania",2002,Minon: Everyday Hero,,1
NovaLogic,"Calabasas, California, United States",1985,Comanche,Acquired by THQ Nordic in 2016.,0
NTDEC,"Taipei, Taiwan",1983,Various unlicensed Famicom games,Defunct in 1993.,0
Nutting Associates,"Mountain View, California, United States",1965,Computer Space,Defunct in 1976.,0
O3 Entertainment,"Santa Clara, California, United States",2001,,,0
Ocean Software,"Manchester, UK",1984,Various licensed Commodore 64 and Amiga games,Acquired by Infogrames,0
Ocean State Publishing,"Woonsocket, Rhode Island, United States",1990,,Label of Rhode Island Soft Systems. Acquired by Freeze.com in 2003.,0
Oculus Studios,"Irvine, California, United States",2014,Asgard's Wrath,Game publishing arm of Oculus VR.,1
Odin Computer Graphics,"Liverpool, England, UK",1985,Nodes of Yesod,"Defunct in 1988, re-established in 2005.",0
Opera Soft,Spain,1986,The Last Mission,Defunct in 1992.,0
Orbital Media,"Calgary, Alberta, Canada",2003,Racing Gears Advance,No longer publishes video games.,0
Origin Systems,"Austin, Texas, United States",1983,UltimaWing Commander,Also a video game developer. Acquired by Electronic Arts.,0
Orion Interactive,United States,1996,,Defunct following acquisition by Metro-Goldwyn-Meyer in 1997.,0
Out of the Park Developments,"Hollern-Twielenfleth, Germany",1999,Out of the Park Baseball,,1
0verflow,"Tokyo, Japan",1997,School Days,,1
Oxygen Games,"Northamptonshire, England, UK",2004,,Also a video game developer.,0
OziSoft,"Sydney, Australia",1982,A Journey to the Centre of the Earth,"Acquired by Infogrames in 1998, and Namco Bandai Games in 2009.",0
Pacific Novelty,United States,1980,The Amazing Adventures of Mr. F. Lea,Last game published in 1983.,0
Pack-In-Video,Japan,1970,Harvest Moon (Japanese release),Acquired by Victor Entertainment in 1996; became Victor Interactive Software.,0
Palace Software,"London, England, UK",1983,"Barbarian: The Ultimate Warrior, Cauldron",Acquired by Titus Software in 1991.,0
Palette,"Tokyo, Japan",2002,Moshimo Ashita ga Hare Naraba,,1
Panasonic,"Osaka, Japan",1918,D,No longer publishes video games.,0
Panda Entertainment,Taiwan,1993,Sango Fighter,Last game published in 1997.,0
Panesian Taiwan,Taiwan,1990,"AV-Pachi Slot, Bubble Bath Babes, Peek-A-Boo Poker",Publisher of eroge for the Family Computer and NES,0
Panther Games,"Canberra, Australia",1985,Fire-Brigade: The Battle for Kiev - 1943,No longer publishes video games. Their games are now published by Lock 'n Load Publishing.,0
Panther Software,Japan,1987,,Last game published in 2004.,0
Paradox Interactive,"Stockholm, Sweden",1998,,Also a video game developer.,1
Paragon Software,"Greensburg, Pennsylvania, United States",1985,The Amazing Spider-Man,Defunct in 1992.,0
Parker Brothers,"Beverly, Massachusetts, United States",1883,Montezuma's Revenge,"Acquired by Hasbro in 1991, which continued to use it as a label on some video games until 1994.",0
Parsoft Interactive,United States,1991,A-10 Attack!,Defunct in 2002.,0
Penguin Software,"Geneva, Illinois, United States",1978,,,0
Pentavision,South Korea,2003,DJMax Portable,Division of Neowiz Games. Merged with GameOn Studios in 2012.,0
Perfect World,"Beijing, China",2004,Perfect WorldJade Dynasty,Also a video game developer. Subsidiaries include Runic Games and Cryptic Studios.,1
Personal Software Services,"Coventry, UK",1981,The Battle For Midway,Acquired by Mirrorsoft in 1987.,0
Petit Ferret,Japan,2002,Popotan,Defunct.,0
Petroglyph Games,"Las Vegas, Nevada, US",2003,Guardians of GraxiaMytheonPanzer General: Russian Assault,Also a video game developer.,1
PF Magic,"San Francisco, California, United States",1991,Petz,Acquired by Ubisoft in 1998.,0
Phantagram,South Korea,1994,Phantom Crash,,1
Philips,"Amsterdam, Netherlands",1891,Various CD-i games,No longer publishes video games.,0
Pionesoft,Japan,2003,After...,Defunct in 2008.,0
Piranha Games,"London, England, UK",1986,The Trap Door,Software publishing arm of Macmillan Publishers Ltd. Defunct in 1988.,0
Piranha Interactive Publishing,"Tempe, Arizona, United States",1995,Morpheus,Defunct in 1999.,0
PlayFirst,"San Francisco, California, United States",2004,Diner Dash,Acquired by Glu mobile in 2014,1
"Playlogic Entertainment, Inc.","The Netherlands, Amsterdam",2002,,,0
Playmates Toys,"Costa Mesa, California, United States",1966,Earthworm Jim (SNES),,0
The PokÈmon Company,"Tokyo, Japan",1998,Pok√©mon Diamond and Pearl,"Joint venture between Game Freak, Nintendo, and Creatures",1
Pony Canyon,"Tokyo, Japan",1966,Dr. Chaos,No longer publishes video games.,0
PopCap Games,"Seattle, Washington, United States",2000,BejeweledPlants vs. ZombiesPeggleZuma,Also a video game developer. Now owned by EA Games.,1
Positech Games,UK,1997,,,1
Presto Studios,"Encinitas, California, United States",1991,The Journeyman Project,Defunct in 2002.,0
PrincessSoft,Japan,2001,,"Publishing label of Oaks Co., Ltd.",0
Prism Leisure Corporation,"Enfield, Middlesex, England, UK",1984,Various ZX Spectrum games,"Also published under the Addictive Games, Endurance Games, and Paxman Promotions labels. Defunct.",0
Private Division,"New York City, New York, US",2017,Kerbal Space Program,Label of Take-Two Interactive,1
Probe Software,"Croydon, England, UK",1984,Mantronix,Acquired by Acclaim Entertainment in 1999; defunct in 2004.,0
Programma International,"Los Angeles, California, United States",1978,3-D Docking Mission,Defunct in 1983.,0
Prototype,"Tokyo, Japan",2006,Planetarian: The Reverie of a Little Planet,,1
Psygnosis,"Liverpool, England, UK",1984,DiscworldLemmings,Also a video game developer.,0
Psikyo,"Kyoto, Japan",1992,Sengoku Blade,Defunct in 2003; continued to be used a label until 2005.,0
Psytronik Software,UK,1993,Knight 'n' Grail,,1
Pulltop,Japan,2002,,,1
Purple Moon,"Mountain View, California, United States",1997,Various girls' video games,Acquired by Mattel in 1999.,0
Purple software,Japan,1985,Haruiro Ouse,Label of JAST. Known as Purple until 1998.,1
Quality Software,"Chatsworth, California, United States",1978,The Return of Heracles,Defunct in 1984.,0
Quantum Axcess,"Columbus, Ohio, United States",1994,Malice,Last game published c. 2003.,0
Quantum Quality Productions,"Flemington, New Jersey, United States",1991,The Perfect General,Acquired by American Laser Games in 1994; defunct in 1995.,0
Quest Corporation,"Tokyo, Japan",1988,Ogre Battle: The March of the Black Queen,Defunct in 2002 following acquisition by Square.,0
Quicksilva,UK,1983,"Ant Attack, Bugaboo (The Flea)","Acquired by Argus Press Software in 1984, which used the Quicksilva name as a label until 1989.",0
QuinRose,Japan,2005,Arabians Lost: The Engagement on Desert,,1
Quintet,"Tokyo, Japan",1987,,Defunct in 2002.,0
Qute,"Sagamihara, Japan",1999,Dicing Knight Period,,1
Q Entertainment,"Tokyo, Japan",2003,Lumines II,,1
R2Games,"Hong Kong, China",2010,,,1
Rabbit Software,"London, England, UK",1982,Potty Painter,Acquired by Virgin Games in 1985.,0
Radica Games,United States,1983,Play TV,Acquired by Mattel in 2006.,0
Rage Software,"Liverpool, England, UK",1992,Striker,Defunct in 2003.,0
Rainbird Software,"London, England, UK",1986,Starglider,"Label of Telecomsoft until 1989, and of MicroProse from then until its discontinuation in 1991.",0
Rainbow Arts,"G√ºtersloh, Germany",1984,"Turrican, The Great Giana Sisters",Also a video game developer. Acquired by Funsoft and subsequently absorbed into THQ in 1999.,0
Rare,"Twycross, England, UK",1985,Jet Force Gemini,Acquired by Microsoft in 2002.,0
Ravensburger Interactive,"Ravensburg, Germany",1883,,Video game subsidiary of Ravensburger AG. Acquired by JoWooD Productions in 2002.,0
Raw Thrills,"Skokie, Illinois, United States",2001,Target: Terror,,1
Red Ant Enterprises,Australia,2001,,Local distributor for other publishers' games. Defunct in 2011.,0
Red Barrels,"Montreal, Quebec, Canada",2011,Outlast series,Also a video game developer.,1
Red Entertainment,"Tokyo, Japan",1976,Gungrave,Known as Red Company until 2000.,0
RedOctane,"Mountain View, California, United States",1999,Guitar Hero,Acquired by Activision in 2006; defunct in 2010.,0
Red Orb Entertainment,"Novato, California, United States",1997,Riven,"Label of Broderbund, and of Mindscape from 1998 onward. Defunct in 2001 following acquisition by Ubisoft.",0
Red Shift,"London, England",1983,Rebelstar Raiders,Defunct in 1985.,0
Red Storm Entertainment,"Cary, North Carolina, United States",1996,Rainbow Six,Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft.,0
Regista,Japan,2004,I/O,,1
reLINE Software,"Hanover, Germany",1987,Amegas,Defunct in 2004.,0
Renegade Software,"Wapping, London, England, UK",1991,"Gods, Fire & Ice",Publishing arm of The Bitmap Brothers. Acquired by GT Interactive in 1997.,0
Renovation Products,United States,1990,,Acquired by Sega,0
Richard Shepherd Software,"Slough, Berkshire, England, UK",1982,Shaken but not Stirred,Defunct in 1984.,0
Right Stuff,"Tokyo, Japan",1990,Flash Hiders,Defunct in 1999.,0
Riot Games,"Santa Monica, United States",2006,League of Legends,Also a video game developer. Acquired by Tencent.,1
Ripcord Games,"Santa Clara, California, United States",1996,Postal,Label of Panasonic Interactive Media until 1999. Stopped publishing video games in 2001. Defunct in 2009.,0
Rising Star Games,"Hitchin, England, UK",2004,,,1
Riverhillsoft,Japan,1982,J.B. Harold Murder Club,Defunct in 2004.,0
Rock-Ola,"Chicago, Illinois, United States",1927,Nibbler,No longer publishes video games.,0
Rockstar Games,"New York, New York, United States",1998,Max PayneGrand Theft AutoManhuntMidnight ClubBully,Also a video game developer. Currently a publishing label of Take-Two Interactive.,1
Romstar,"Torrance, California, United States",1984,Twin Cobra,Defunct in 1992.,0
Romtech,"Langhorne, Pennsylvania, United States",1999,,Defunct.,0
Rovio Entertainment,"Espoo, Finland",2003,Angry Birds,Publishers its own developed games as well as 3rd parties under Rovio Stars,1
RTL Group,"Kirchberg, Luxembourg",1920,Crash Time: Autobahn Pursuit,"Published under the RTL Playtainment label. Currently its subsidiary, BroadbandTV, publishes some mobile games.",1
RuneSoft,"T√ºbingen, Germany",2000,Various Linux and Mac OS games,,0
Saga Planets,"Osaka, Japan",1998,Ren'ai CHU!,,1
Sammy Studios,"Minato, Japan",2004,,"Merged with Sega as Sega Sammy Holdings,",1
Samsung,"Seoul, South Korea",1938,Various Sega Mega Drive games in Korea,No longer publishes video games.,0
Sanctuary Woods,"Victoria, British Columbia, Canada",1988,Ripley's Believe It or Not!: The Riddle of Master Lu,Defunct in 2001.,0
"Scavenger, Inc.","Los Angeles, California, United States",1996,Scorcher,Defunct in 1998.,0
